iter	Passed	Remaining
0	1	169
1	3	161
2	4	156
3	5	143
4	7	144
5	9	142
6	10	141
7	12	141
8	13	138
9	15	135
10	16	133
11	18	132
12	19	130
13	21	129
14	22	127
15	24	126
16	25	125
17	27	124
18	28	122
19	30	121
20	31	119
21	33	118
22	34	116
23	36	114
24	37	113
25	39	111
26	40	110
27	42	108
28	43	107
29	45	105
30	47	104
31	48	103
32	50	102
33	51	100
34	53	99
35	54	97
36	56	96
37	58	94
38	59	93
39	61	91
40	62	90
41	63	87
42	65	86
43	66	84
44	67	82
45	69	81
46	70	79
47	72	78
48	73	76
49	75	75
50	76	73
51	78	72
52	79	70
53	81	69
54	82	67
55	83	65
56	85	64
57	86	62
58	88	61
59	89	59
60	91	58
61	92	56
62	94	55
63	95	53
64	97	52
65	98	50
66	100	49
67	102	48
68	103	46
69	105	45
70	106	43
71	108	42
72	109	40
73	111	39
74	113	37
75	114	36
76	116	34
77	117	33
78	119	31
79	121	30
80	122	28
81	123	27
82	125	25
83	127	24
84	128	22
85	130	21
86	131	19
87	133	18
88	134	16
89	136	15
90	137	13
91	139	12
92	140	10
93	142	9
94	143	7
95	145	6
96	146	4
97	148	3
98	150	1
99	151	0
