iter	Passed	Remaining
0	2	281
1	4	234
2	6	222
3	8	207
4	10	207
5	12	200
6	15	201
7	17	200
8	19	195
9	21	190
10	23	186
11	25	183
12	26	179
13	28	175
14	30	172
15	32	172
16	34	168
17	36	166
18	38	163
19	40	161
20	42	159
21	44	156
22	46	156
23	48	154
24	50	152
25	53	151
26	55	150
27	59	151
28	64	157
29	66	154
30	71	158
31	73	155
32	74	152
33	77	149
34	79	147
35	81	144
36	82	141
37	84	138
38	87	136
39	89	133
40	92	133
41	94	131
42	97	128
43	98	125
44	100	122
45	101	119
46	103	116
47	105	114
48	107	112
49	109	109
50	111	107
51	113	105
52	115	102
53	117	100
54	119	97
55	121	95
56	123	93
57	125	91
58	127	88
59	129	86
60	131	84
61	133	81
62	135	79
63	137	77
64	139	75
65	141	72
66	142	70
67	144	67
68	146	65
69	147	63
70	150	61
71	152	59
72	154	57
73	156	54
74	158	52
75	160	50
76	161	48
77	163	46
78	165	44
79	168	42
80	170	39
81	171	37
82	174	35
83	175	33
84	177	31
85	180	29
86	182	27
87	184	25
88	186	23
89	188	20
90	190	18
91	192	16
92	194	14
93	196	12
94	198	10
95	200	8
96	202	6
97	203	4
98	205	2
99	207	0
